"Series";"Time";"Value"
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T03:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T03:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T03:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T03:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T04:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T04:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T04:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T04:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T04:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T04:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T05:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T05:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T05:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T05:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T05:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T05:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T06:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T06:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T06:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T06:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T06:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T06:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T07:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T07:10:00+01:00";null
